----------------------------------------------------------------------
Data values
----------------------------------------------------------------------
Data by Sector
Sector: #1 39% exposure, 58 km/hr windspeed
Sector: #277 85% exposure, 33 km/hr windspeed
Sector: #277 75% exposure, 12 km/hr windspeed
Sector: #278 27% exposure, 60 km/hr windspeed
Sector: #278 15% exposure, 57 km/hr windspeed
Sector: #279 24% exposure, 5 km/hr windspeed
Sector: #280 50% exposure, 47 km/hr windspeed
Sector: #280 97% exposure, 53 km/hr windspeed
Sector: #281 97% exposure, 35 km/hr windspeed
Sector: #282 66% exposure, 37 km/hr windspeed
Sector: #282 22% exposure, 36 km/hr windspeed
Sector: #282 20% exposure, 14 km/hr windspeed
Sector: #282 70% exposure, 54 km/hr windspeed
Sector: #283 25% exposure, 37 km/hr windspeed
Sector: #283 95% exposure, 8 km/hr windspeed
Sector: #284 15% exposure, 12 km/hr windspeed
Sector: #285 68% exposure, 13 km/hr windspeed
Sector: #285 83% exposure, 25 km/hr windspeed
Sector: #286 50% exposure, 2 km/hr windspeed
Sector: #286 88% exposure, 23 km/hr windspeed
Sector: #287 68% exposure, 64 km/hr windspeed
Sector: #288 95% exposure, 7 km/hr windspeed
Sector: #288 66% exposure, 26 km/hr windspeed
Sector: #289 70% exposure, 57 km/hr windspeed
Sector: #289 68% exposure, 23 km/hr windspeed
Sector: #290 70% exposure, 21 km/hr windspeed
Sector: #291 9% exposure, 44 km/hr windspeed
Sector: #291 27% exposure, 30 km/hr windspeed
Sector: #291 74% exposure, 33 km/hr windspeed
Sector: #292 37% exposure, 46 km/hr windspeed
Sector: #292 26% exposure, 45 km/hr windspeed
Sector: #293 60% exposure, 41 km/hr windspeed
Sector: #294 13% exposure, 28 km/hr windspeed
Sector: #295 59% exposure, 62 km/hr windspeed
Sector: #295 20% exposure, 35 km/hr windspeed
Sector: #296 3% exposure, 43 km/hr windspeed
Sector: #296 73% exposure, 38 km/hr windspeed
Sector: #297 6% exposure, 18 km/hr windspeed
Sector: #297 82% exposure, 24 km/hr windspeed
Sector: #298 54% exposure, 35 km/hr windspeed
Sector: #298 60% exposure, 45 km/hr windspeed
Sector: #298 40% exposure, 2 km/hr windspeed
Sector: #299 34% exposure, 37 km/hr windspeed
Sector: #299 6% exposure, 11 km/hr windspeed
Sector: #299 60% exposure, 19 km/hr windspeed
Sector: #301 58% exposure, 7 km/hr windspeed
Sector: #301 68% exposure, 28 km/hr windspeed
Sector: #301 51% exposure, 19 km/hr windspeed
Sector: #301 46% exposure, 46 km/hr windspeed
Sector: #302 40% exposure, 43 km/hr windspeed
Sector: #303 39% exposure, 1 km/hr windspeed
Sector: #303 32% exposure, 34 km/hr windspeed
Sector: #304 56% exposure, 18 km/hr windspeed
Sector: #304 44% exposure, 34 km/hr windspeed
Sector: #304 36% exposure, 55 km/hr windspeed
Sector: #305 42% exposure, 11 km/hr windspeed
Sector: #307 76% exposure, 25 km/hr windspeed
Sector: #308 4% exposure, 27 km/hr windspeed
Sector: #311 58% exposure, 18 km/hr windspeed
Sector: #311 50% exposure, 31 km/hr windspeed
Sector: #312 100% exposure, 23 km/hr windspeed
Sector: #313 41% exposure, 8 km/hr windspeed
Sector: #313 34% exposure, 37 km/hr windspeed
Sector: #314 51% exposure, 34 km/hr windspeed
Sector: #314 34% exposure, 3 km/hr windspeed
Sector: #314 57% exposure, 49 km/hr windspeed
Sector: #314 58% exposure, 15 km/hr windspeed
Sector: #314 88% exposure, 14 km/hr windspeed
Sector: #315 61% exposure, 35 km/hr windspeed
Sector: #316 70% exposure, 18 km/hr windspeed
Sector: #317 13% exposure, 7 km/hr windspeed
Sector: #318 11% exposure, 35 km/hr windspeed
Sector: #319 22% exposure, 2 km/hr windspeed
Sector: #320 50% exposure, 9 km/hr windspeed
Sector: #321 97% exposure, 2 km/hr windspeed
Sector: #321 48% exposure, 6 km/hr windspeed
Sector: #321 86% exposure, 21 km/hr windspeed
Sector: #322 2% exposure, 8 km/hr windspeed
Sector: #322 64% exposure, 10 km/hr windspeed
Sector: #322 93% exposure, 50 km/hr windspeed
Sector: #325 26% exposure, 30 km/hr windspeed
Sector: #326 25% exposure, 61 km/hr windspeed
Sector: #326 14% exposure, 40 km/hr windspeed
Sector: #327 38% exposure, 16 km/hr windspeed
Sector: #327 36% exposure, 44 km/hr windspeed
Sector: #327 82% exposure, 31 km/hr windspeed
Sector: #327 97% exposure, 22 km/hr windspeed
Sector: #328 82% exposure, 8 km/hr windspeed
Sector: #328 81% exposure, 18 km/hr windspeed
Sector: #330 29% exposure, 62 km/hr windspeed
Sector: #330 72% exposure, 19 km/hr windspeed
Sector: #331 15% exposure, 19 km/hr windspeed
Sector: #332 85% exposure, 21 km/hr windspeed
Sector: #332 21% exposure, 14 km/hr windspeed
Sector: #332 32% exposure, 43 km/hr windspeed
Sector: #332 91% exposure, 5 km/hr windspeed
Sector: #333 20% exposure, 21 km/hr windspeed
Sector: #333 14% exposure, 2 km/hr windspeed
Sector: #334 92% exposure, 22 km/hr windspeed
Sector: #334 52% exposure, 16 km/hr windspeed
Sector: #336 55% exposure, 16 km/hr windspeed
Sector: #336 53% exposure, 8 km/hr windspeed
Sector: #337 25% exposure, 57 km/hr windspeed
Sector: #337 39% exposure, 66 km/hr windspeed
Sector: #337 19% exposure, 2 km/hr windspeed
Sector: #337 76% exposure, 26 km/hr windspeed
Sector: #337 62% exposure, 59 km/hr windspeed
Sector: #337 74% exposure, 61 km/hr windspeed
Sector: #338 98% exposure, 2 km/hr windspeed
Sector: #338 85% exposure, 58 km/hr windspeed
Sector: #339 25% exposure, 17 km/hr windspeed
Sector: #339 98% exposure, 41 km/hr windspeed
Sector: #340 93% exposure, 26 km/hr windspeed
Sector: #340 98% exposure, 34 km/hr windspeed
Sector: #341 44% exposure, 8 km/hr windspeed
Sector: #342 29% exposure, 4 km/hr windspeed
Sector: #342 90% exposure, 5 km/hr windspeed
Sector: #343 25% exposure, 33 km/hr windspeed
Sector: #343 82% exposure, 1 km/hr windspeed
Sector: #344 27% exposure, 13 km/hr windspeed
Sector: #344 64% exposure, 20 km/hr windspeed
Sector: #344 66% exposure, 37 km/hr windspeed
Sector: #345 97% exposure, 16 km/hr windspeed
Sector: #346 79% exposure, 28 km/hr windspeed
Sector: #346 23% exposure, 51 km/hr windspeed
Sector: #348 72% exposure, 11 km/hr windspeed
Sector: #348 9% exposure, 54 km/hr windspeed
Sector: #348 41% exposure, 24 km/hr windspeed
Sector: #349 11% exposure, 36 km/hr windspeed
Sector: #350 36% exposure, 44 km/hr windspeed
Sector: #350 23% exposure, 13 km/hr windspeed
Sector: #352 43% exposure, 2 km/hr windspeed
Sector: #352 60% exposure, 18 km/hr windspeed
Sector: #352 30% exposure, 45 km/hr windspeed
Sector: #353 45% exposure, 27 km/hr windspeed
Sector: #353 84% exposure, 33 km/hr windspeed
Sector: #353 80% exposure, 28 km/hr windspeed
Sector: #354 97% exposure, 43 km/hr windspeed
Sector: #354 98% exposure, 9 km/hr windspeed
Sector: #355 89% exposure, 14 km/hr windspeed
Sector: #356 1% exposure, 31 km/hr windspeed
Sector: #357 34% exposure, 36 km/hr windspeed
Sector: #357 56% exposure, 23 km/hr windspeed
Sector: #357 30% exposure, 34 km/hr windspeed
Sector: #358 5% exposure, 44 km/hr windspeed
Sector: #358 91% exposure, 11 km/hr windspeed
Sector: #359 6% exposure, 26 km/hr windspeed
Sector: #360 66% exposure, 4 km/hr windspeed
Sector: #362 51% exposure, 32 km/hr windspeed
Sector: #362 86% exposure, 4 km/hr windspeed
Sector: #363 61% exposure, 27 km/hr windspeed
Sector: #363 22% exposure, 21 km/hr windspeed
Sector: #363 55% exposure, 5 km/hr windspeed
Sector: #364 87% exposure, 34 km/hr windspeed
Sector: #364 90% exposure, 6 km/hr windspeed
Sector: #364 86% exposure, 2 km/hr windspeed
Sector: #364 26% exposure, 31 km/hr windspeed
Sector: #365 72% exposure, 16 km/hr windspeed
Sector: #365 96% exposure, 22 km/hr windspeed
Sector: #365 9% exposure, 31 km/hr windspeed
Sector: #366 81% exposure, 11 km/hr windspeed
Sector: #366 65% exposure, 56 km/hr windspeed
Sector: #366 65% exposure, 57 km/hr windspeed
Sector: #366 27% exposure, 37 km/hr windspeed
Sector: #366 20% exposure, 7 km/hr windspeed
Sector: #366 93% exposure, 49 km/hr windspeed
Sector: #368 30% exposure, 10 km/hr windspeed
Sector: #368 53% exposure, 14 km/hr windspeed
Sector: #369 95% exposure, 27 km/hr windspeed
Sector: #369 57% exposure, 24 km/hr windspeed
Sector: #370 3% exposure, 39 km/hr windspeed
Sector: #371 37% exposure, 50 km/hr windspeed
Sector: #371 40% exposure, 24 km/hr windspeed
Sector: #371 20% exposure, 11 km/hr windspeed
Sector: #372 100% exposure, 54 km/hr windspeed
Sector: #372 42% exposure, 7 km/hr windspeed
Sector: #372 81% exposure, 30 km/hr windspeed
Sector: #373 33% exposure, 16 km/hr windspeed
Sector: #373 26% exposure, 48 km/hr windspeed
Sector: #374 54% exposure, 17 km/hr windspeed
Sector: #374 52% exposure, 54 km/hr windspeed
Sector: #374 73% exposure, 32 km/hr windspeed
Sector: #374 19% exposure, 29 km/hr windspeed
Sector: #374 2% exposure, 30 km/hr windspeed
Sector: #376 17% exposure, 8 km/hr windspeed
Sector: #376 37% exposure, 40 km/hr windspeed
Sector: #376 21% exposure, 34 km/hr windspeed
Sector: #377 87% exposure, 36 km/hr windspeed
Sector: #378 78% exposure, 12 km/hr windspeed
Sector: #378 85% exposure, 9 km/hr windspeed
Sector: #380 5% exposure, 60 km/hr windspeed
Sector: #380 73% exposure, 22 km/hr windspeed
Sector: #381 59% exposure, 61 km/hr windspeed
Sector: #381 87% exposure, 10 km/hr windspeed
Sector: #381 61% exposure, 30 km/hr windspeed
Sector: #381 82% exposure, 40 km/hr windspeed
Sector: #382 61% exposure, 42 km/hr windspeed
Sector: #383 53% exposure, 1 km/hr windspeed
Sector: #383 59% exposure, 52 km/hr windspeed
Sector: #383 95% exposure, 19 km/hr windspeed
Sector: #384 38% exposure, 36 km/hr windspeed
Sector: #384 41% exposure, 13 km/hr windspeed
Sector: #384 54% exposure, 20 km/hr windspeed
Sector: #385 90% exposure, 2 km/hr windspeed
Sector: #385 33% exposure, 5 km/hr windspeed
Sector: #385 53% exposure, 46 km/hr windspeed
Sector: #385 50% exposure, 30 km/hr windspeed
Sector: #385 34% exposure, 46 km/hr windspeed
Sector: #386 62% exposure, 44 km/hr windspeed
Sector: #386 26% exposure, 46 km/hr windspeed
Sector: #386 53% exposure, 2 km/hr windspeed
Sector: #386 41% exposure, 3 km/hr windspeed
Sector: #386 80% exposure, 50 km/hr windspeed
Sector: #387 62% exposure, 16 km/hr windspeed
Sector: #388 85% exposure, 23 km/hr windspeed
Sector: #388 49% exposure, 21 km/hr windspeed
Sector: #389 25% exposure, 25 km/hr windspeed
Sector: #389 32% exposure, 24 km/hr windspeed
Sector: #390 35% exposure, 3 km/hr windspeed
Sector: #390 43% exposure, 37 km/hr windspeed
Sector: #390 12% exposure, 10 km/hr windspeed
Sector: #390 15% exposure, 8 km/hr windspeed
Sector: #390 89% exposure, 50 km/hr windspeed
Sector: #391 74% exposure, 37 km/hr windspeed
Sector: #391 62% exposure, 44 km/hr windspeed
Sector: #392 51% exposure, 26 km/hr windspeed
Sector: #393 72% exposure, 33 km/hr windspeed
Sector: #393 49% exposure, 29 km/hr windspeed
Sector: #394 88% exposure, 54 km/hr windspeed
Sector: #394 82% exposure, 21 km/hr windspeed
Sector: #394 40% exposure, 57 km/hr windspeed
Sector: #394 8% exposure, 40 km/hr windspeed
Sector: #394 84% exposure, 52 km/hr windspeed
Sector: #394 64% exposure, 15 km/hr windspeed
Sector: #396 71% exposure, 13 km/hr windspeed
Sector: #396 46% exposure, 8 km/hr windspeed
Sector: #397 88% exposure, 10 km/hr windspeed
Sector: #397 39% exposure, 25 km/hr windspeed
Sector: #398 90% exposure, 4 km/hr windspeed
Sector: #398 76% exposure, 49 km/hr windspeed
Sector: #399 36% exposure, 49 km/hr windspeed
Sector: #399 45% exposure, 41 km/hr windspeed
Sector: #400 40% exposure, 6 km/hr windspeed
Sector: #400 22% exposure, 11 km/hr windspeed
Sector: #401 81% exposure, 62 km/hr windspeed
Sector: #401 78% exposure, 18 km/hr windspeed
Sector: #401 81% exposure, 17 km/hr windspeed
Sector: #402 66% exposure, 19 km/hr windspeed
Sector: #402 45% exposure, 40 km/hr windspeed
Sector: #402 36% exposure, 38 km/hr windspeed
Sector: #402 70% exposure, 37 km/hr windspeed
Sector: #403 48% exposure, 13 km/hr windspeed
Sector: #403 96% exposure, 24 km/hr windspeed
Sector: #403 67% exposure, 9 km/hr windspeed
Sector: #403 23% exposure, 57 km/hr windspeed
Sector: #404 40% exposure, 42 km/hr windspeed
Sector: #405 90% exposure, 55 km/hr windspeed
Sector: #405 47% exposure, 40 km/hr windspeed
Sector: #405 72% exposure, 52 km/hr windspeed
Sector: #406 41% exposure, 36 km/hr windspeed
Sector: #406 48% exposure, 37 km/hr windspeed
Sector: #406 45% exposure, 20 km/hr windspeed
Sector: #407 24% exposure, 20 km/hr windspeed
Sector: #407 70% exposure, 25 km/hr windspeed
Sector: #407 22% exposure, 31 km/hr windspeed
Sector: #407 55% exposure, 30 km/hr windspeed
Sector: #407 1% exposure, 16 km/hr windspeed
Sector: #408 27% exposure, 7 km/hr windspeed
Sector: #408 71% exposure, 34 km/hr windspeed
Sector: #409 73% exposure, 24 km/hr windspeed
Sector: #409 45% exposure, 56 km/hr windspeed
Sector: #410 2% exposure, 8 km/hr windspeed
Sector: #411 77% exposure, 27 km/hr windspeed
Sector: #411 48% exposure, 32 km/hr windspeed
Sector: #412 81% exposure, 59 km/hr windspeed
Sector: #413 78% exposure, 29 km/hr windspeed
Sector: #413 54% exposure, 24 km/hr windspeed
Sector: #413 56% exposure, 29 km/hr windspeed
Sector: #415 88% exposure, 30 km/hr windspeed
Sector: #417 96% exposure, 13 km/hr windspeed
Sector: #417 73% exposure, 43 km/hr windspeed
Sector: #417 17% exposure, 10 km/hr windspeed
Sector: #418 98% exposure, 22 km/hr windspeed
Sector: #419 61% exposure, 32 km/hr windspeed
Sector: #419 7% exposure, 15 km/hr windspeed
Sector: #420 78% exposure, 12 km/hr windspeed
Sector: #420 2% exposure, 13 km/hr windspeed
Sector: #420 70% exposure, 31 km/hr windspeed
Sector: #421 26% exposure, 1 km/hr windspeed
Sector: #421 44% exposure, 23 km/hr windspeed
Sector: #421 80% exposure, 33 km/hr windspeed
Sector: #422 55% exposure, 2 km/hr windspeed
Sector: #422 6% exposure, 16 km/hr windspeed
Sector: #422 8% exposure, 40 km/hr windspeed
Sector: #422 90% exposure, 51 km/hr windspeed
Sector: #423 48% exposure, 43 km/hr windspeed
Sector: #423 31% exposure, 8 km/hr windspeed
Sector: #423 38% exposure, 38 km/hr windspeed
Sector: #424 73% exposure, 48 km/hr windspeed
Sector: #426 23% exposure, 44 km/hr windspeed
Sector: #426 84% exposure, 69 km/hr windspeed
Sector: #427 44% exposure, 49 km/hr windspeed
Sector: #429 90% exposure, 25 km/hr windspeed
Sector: #429 52% exposure, 45 km/hr windspeed
Sector: #429 96% exposure, 10 km/hr windspeed
Sector: #429 3% exposure, 14 km/hr windspeed
Sector: #430 2% exposure, 27 km/hr windspeed
Sector: #430 13% exposure, 16 km/hr windspeed
Sector: #431 78% exposure, 6 km/hr windspeed
Sector: #431 55% exposure, 34 km/hr windspeed
Sector: #431 24% exposure, 17 km/hr windspeed
Sector: #432 7% exposure, 10 km/hr windspeed
Sector: #432 91% exposure, 16 km/hr windspeed
Sector: #433 70% exposure, 28 km/hr windspeed
Sector: #434 8% exposure, 2 km/hr windspeed
Sector: #435 35% exposure, 11 km/hr windspeed
Sector: #435 96% exposure, 41 km/hr windspeed
Sector: #435 14% exposure, 23 km/hr windspeed
Sector: #436 90% exposure, 17 km/hr windspeed
Sector: #436 48% exposure, 15 km/hr windspeed
Sector: #437 78% exposure, 48 km/hr windspeed
Sector: #438 60% exposure, 46 km/hr windspeed
Sector: #439 7% exposure, 24 km/hr windspeed
Sector: #439 28% exposure, 40 km/hr windspeed
Sector: #441 7% exposure, 12 km/hr windspeed
Sector: #441 64% exposure, 13 km/hr windspeed
Sector: #441 100% exposure, 45 km/hr windspeed
Sector: #442 34% exposure, 18 km/hr windspeed
Sector: #443 23% exposure, 44 km/hr windspeed
Sector: #444 61% exposure, 31 km/hr windspeed
Sector: #444 74% exposure, 18 km/hr windspeed
Sector: #444 17% exposure, 47 km/hr windspeed
Sector: #444 14% exposure, 19 km/hr windspeed
Sector: #445 57% exposure, 22 km/hr windspeed
Sector: #445 7% exposure, 9 km/hr windspeed
Sector: #446 21% exposure, 3 km/hr windspeed
Sector: #446 72% exposure, 20 km/hr windspeed
Sector: #446 98% exposure, 2 km/hr windspeed
Sector: #447 26% exposure, 48 km/hr windspeed
Sector: #447 53% exposure, 10 km/hr windspeed
Sector: #447 14% exposure, 63 km/hr windspeed
Sector: #447 42% exposure, 6 km/hr windspeed
Sector: #448 43% exposure, 54 km/hr windspeed
Sector: #449 50% exposure, 3 km/hr windspeed
Sector: #449 49% exposure, 45 km/hr windspeed
Sector: #449 66% exposure, 14 km/hr windspeed
Sector: #450 66% exposure, 43 km/hr windspeed
Sector: #450 8% exposure, 4 km/hr windspeed
Sector: #450 52% exposure, 34 km/hr windspeed
Sector: #451 27% exposure, 26 km/hr windspeed
Sector: #451 46% exposure, 13 km/hr windspeed
Sector: #453 93% exposure, 2 km/hr windspeed
Sector: #454 73% exposure, 36 km/hr windspeed
Sector: #455 4% exposure, 30 km/hr windspeed
Sector: #455 66% exposure, 7 km/hr windspeed
Sector: #455 57% exposure, 64 km/hr windspeed
Sector: #455 93% exposure, 67 km/hr windspeed
Sector: #456 90% exposure, 36 km/hr windspeed
Sector: #456 35% exposure, 62 km/hr windspeed
Sector: #457 36% exposure, 23 km/hr windspeed
Sector: #458 31% exposure, 30 km/hr windspeed
Sector: #459 70% exposure, 7 km/hr windspeed
Sector: #459 98% exposure, 37 km/hr windspeed
Sector: #460 10% exposure, 12 km/hr windspeed
Sector: #461 12% exposure, 61 km/hr windspeed
Sector: #462 82% exposure, 46 km/hr windspeed
Sector: #462 12% exposure, 15 km/hr windspeed
Sector: #463 64% exposure, 13 km/hr windspeed
Sector: #464 56% exposure, 33 km/hr windspeed
Sector: #464 27% exposure, 47 km/hr windspeed
Sector: #464 97% exposure, 35 km/hr windspeed
Sector: #465 81% exposure, 25 km/hr windspeed
Sector: #465 9% exposure, 38 km/hr windspeed
Sector: #466 91% exposure, 13 km/hr windspeed
Sector: #467 51% exposure, 21 km/hr windspeed
Sector: #467 96% exposure, 57 km/hr windspeed
Sector: #467 26% exposure, 20 km/hr windspeed
Sector: #469 38% exposure, 39 km/hr windspeed
Sector: #469 79% exposure, 40 km/hr windspeed
Sector: #469 46% exposure, 25 km/hr windspeed
Sector: #471 34% exposure, 28 km/hr windspeed
Sector: #471 43% exposure, 35 km/hr windspeed
Sector: #471 44% exposure, 47 km/hr windspeed
Sector: #471 5% exposure, 36 km/hr windspeed
Sector: #472 15% exposure, 40 km/hr windspeed
Sector: #472 57% exposure, 27 km/hr windspeed
Sector: #472 28% exposure, 26 km/hr windspeed
Sector: #473 76% exposure, 53 km/hr windspeed
Sector: #474 34% exposure, 26 km/hr windspeed
Sector: #474 40% exposure, 51 km/hr windspeed
Sector: #476 77% exposure, 17 km/hr windspeed
Sector: #476 66% exposure, 40 km/hr windspeed
Sector: #477 84% exposure, 11 km/hr windspeed
Sector: #478 52% exposure, 28 km/hr windspeed
Sector: #478 97% exposure, 57 km/hr windspeed
Sector: #480 100% exposure, 10 km/hr windspeed
Sector: #481 44% exposure, 23 km/hr windspeed
Sector: #482 100% exposure, 6 km/hr windspeed
Sector: #482 72% exposure, 16 km/hr windspeed
Sector: #482 72% exposure, 60 km/hr windspeed
Sector: #483 21% exposure, 29 km/hr windspeed
Sector: #484 81% exposure, 4 km/hr windspeed
Sector: #484 22% exposure, 16 km/hr windspeed
Sector: #484 66% exposure, 4 km/hr windspeed
Sector: #484 72% exposure, 29 km/hr windspeed
Sector: #485 36% exposure, 43 km/hr windspeed
Sector: #486 57% exposure, 1 km/hr windspeed
Sector: #486 50% exposure, 4 km/hr windspeed
Sector: #487 90% exposure, 26 km/hr windspeed
Sector: #488 61% exposure, 60 km/hr windspeed
Sector: #489 75% exposure, 31 km/hr windspeed
Sector: #489 83% exposure, 16 km/hr windspeed
Sector: #489 61% exposure, 49 km/hr windspeed
Sector: #490 36% exposure, 21 km/hr windspeed
Sector: #490 11% exposure, 44 km/hr windspeed
Sector: #491 14% exposure, 27 km/hr windspeed
Sector: #492 52% exposure, 37 km/hr windspeed
Sector: #493 4% exposure, 36 km/hr windspeed
Sector: #493 9% exposure, 29 km/hr windspeed
Sector: #493 32% exposure, 27 km/hr windspeed
Sector: #494 1% exposure, 9 km/hr windspeed
Sector: #495 80% exposure, 53 km/hr windspeed
Sector: #495 62% exposure, 7 km/hr windspeed
Sector: #496 5% exposure, 23 km/hr windspeed
Sector: #497 71% exposure, 18 km/hr windspeed
Sector: #497 1% exposure, 19 km/hr windspeed
Sector: #497 24% exposure, 37 km/hr windspeed
Sector: #498 46% exposure, 3 km/hr windspeed
Sector: #499 4% exposure, 53 km/hr windspeed
Data by Exposure
Sector: #234 1% exposure, 22 km/hr windspeed
Sector: #494 1% exposure, 9 km/hr windspeed
Sector: #190 1% exposure, 37 km/hr windspeed
Sector: #225 1% exposure, 6 km/hr windspeed
Sector: #4 1% exposure, 32 km/hr windspeed
Sector: #217 1% exposure, 8 km/hr windspeed
Sector: #356 1% exposure, 31 km/hr windspeed
Sector: #161 1% exposure, 24 km/hr windspeed
Sector: #497 1% exposure, 19 km/hr windspeed
Sector: #84 1% exposure, 55 km/hr windspeed
Sector: #407 1% exposure, 16 km/hr windspeed
Sector: #59 1% exposure, 12 km/hr windspeed
Sector: #46 1% exposure, 24 km/hr windspeed
Sector: #92 1% exposure, 11 km/hr windspeed
Sector: #74 2% exposure, 13 km/hr windspeed
Sector: #374 2% exposure, 30 km/hr windspeed
Sector: #88 2% exposure, 16 km/hr windspeed
Sector: #322 2% exposure, 8 km/hr windspeed
Sector: #24 2% exposure, 22 km/hr windspeed
Sector: #420 2% exposure, 13 km/hr windspeed
Sector: #430 2% exposure, 27 km/hr windspeed
Sector: #410 2% exposure, 8 km/hr windspeed
Sector: #207 2% exposure, 15 km/hr windspeed
Sector: #107 2% exposure, 25 km/hr windspeed
Sector: #165 2% exposure, 20 km/hr windspeed
Sector: #370 3% exposure, 39 km/hr windspeed
Sector: #219 3% exposure, 18 km/hr windspeed
Sector: #296 3% exposure, 43 km/hr windspeed
Sector: #77 3% exposure, 27 km/hr windspeed
Sector: #270 3% exposure, 22 km/hr windspeed
Sector: #89 3% exposure, 39 km/hr windspeed
Sector: #429 3% exposure, 14 km/hr windspeed
Sector: #455 4% exposure, 30 km/hr windspeed
Sector: #499 4% exposure, 53 km/hr windspeed
Sector: #174 4% exposure, 24 km/hr windspeed
Sector: #216 4% exposure, 57 km/hr windspeed
Sector: #199 4% exposure, 39 km/hr windspeed
Sector: #308 4% exposure, 27 km/hr windspeed
Sector: #493 4% exposure, 36 km/hr windspeed
Sector: #3 4% exposure, 25 km/hr windspeed
Sector: #22 4% exposure, 11 km/hr windspeed
Sector: #41 4% exposure, 37 km/hr windspeed
Sector: #229 5% exposure, 15 km/hr windspeed
Sector: #358 5% exposure, 44 km/hr windspeed
Sector: #142 5% exposure, 51 km/hr windspeed
Sector: #165 5% exposure, 17 km/hr windspeed
Sector: #380 5% exposure, 60 km/hr windspeed
Sector: #496 5% exposure, 23 km/hr windspeed
Sector: #78 5% exposure, 12 km/hr windspeed
Sector: #155 5% exposure, 44 km/hr windspeed
Sector: #471 5% exposure, 36 km/hr windspeed
Sector: #151 5% exposure, 46 km/hr windspeed
Sector: #218 5% exposure, 30 km/hr windspeed
Sector: #359 6% exposure, 26 km/hr windspeed
Sector: #80 6% exposure, 39 km/hr windspeed
Sector: #299 6% exposure, 11 km/hr windspeed
Sector: #422 6% exposure, 16 km/hr windspeed
Sector: #33 6% exposure, 49 km/hr windspeed
Sector: #297 6% exposure, 18 km/hr windspeed
Sector: #11 6% exposure, 14 km/hr windspeed
Sector: #250 6% exposure, 41 km/hr windspeed
Sector: #40 6% exposure, 55 km/hr windspeed
Sector: #231 7% exposure, 48 km/hr windspeed
Sector: #10 7% exposure, 25 km/hr windspeed
Sector: #22 7% exposure, 13 km/hr windspeed
Sector: #439 7% exposure, 24 km/hr windspeed
Sector: #187 7% exposure, 13 km/hr windspeed
Sector: #432 7% exposure, 10 km/hr windspeed
Sector: #61 7% exposure, 40 km/hr windspeed
Sector: #178 7% exposure, 54 km/hr windspeed
Sector: #445 7% exposure, 9 km/hr windspeed
Sector: #441 7% exposure, 12 km/hr windspeed
Sector: #419 7% exposure, 15 km/hr windspeed
Sector: #75 7% exposure, 20 km/hr windspeed
Sector: #270 7% exposure, 29 km/hr windspeed
Sector: #206 8% exposure, 8 km/hr windspeed
Sector: #252 8% exposure, 38 km/hr windspeed
Sector: #90 8% exposure, 48 km/hr windspeed
Sector: #422 8% exposure, 40 km/hr windspeed
Sector: #450 8% exposure, 4 km/hr windspeed
Sector: #394 8% exposure, 40 km/hr windspeed
Sector: #168 8% exposure, 27 km/hr windspeed
Sector: #264 8% exposure, 12 km/hr windspeed
Sector: #161 8% exposure, 70 km/hr windspeed
Sector: #434 8% exposure, 2 km/hr windspeed
Sector: #264 9% exposure, 2 km/hr windspeed
Sector: #118 9% exposure, 19 km/hr windspeed
Sector: #348 9% exposure, 54 km/hr windspeed
Sector: #46 9% exposure, 32 km/hr windspeed
Sector: #166 9% exposure, 33 km/hr windspeed
Sector: #493 9% exposure, 29 km/hr windspeed
Sector: #291 9% exposure, 44 km/hr windspeed
Sector: #3 9% exposure, 38 km/hr windspeed
Sector: #465 9% exposure, 38 km/hr windspeed
Sector: #163 9% exposure, 42 km/hr windspeed
Sector: #150 9% exposure, 14 km/hr windspeed
Sector: #108 9% exposure, 17 km/hr windspeed
Sector: #365 9% exposure, 31 km/hr windspeed
Sector: #460 10% exposure, 12 km/hr windspeed
Sector: #231 10% exposure, 58 km/hr windspeed
Sector: #132 10% exposure, 20 km/hr windspeed
Sector: #163 10% exposure, 15 km/hr windspeed
Sector: #20 10% exposure, 10 km/hr windspeed
Sector: #185 10% exposure, 12 km/hr windspeed
Sector: #122 10% exposure, 11 km/hr windspeed
Sector: #76 10% exposure, 38 km/hr windspeed
Sector: #210 10% exposure, 39 km/hr windspeed
Sector: #68 11% exposure, 34 km/hr windspeed
Sector: #83 11% exposure, 14 km/hr windspeed
Sector: #218 11% exposure, 37 km/hr windspeed
Sector: #349 11% exposure, 36 km/hr windspeed
Sector: #318 11% exposure, 35 km/hr windspeed
Sector: #490 11% exposure, 44 km/hr windspeed
Sector: #153 12% exposure, 51 km/hr windspeed
Sector: #107 12% exposure, 33 km/hr windspeed
Sector: #461 12% exposure, 61 km/hr windspeed
Sector: #86 12% exposure, 31 km/hr windspeed
Sector: #23 12% exposure, 29 km/hr windspeed
Sector: #27 12% exposure, 36 km/hr windspeed
Sector: #390 12% exposure, 10 km/hr windspeed
Sector: #69 12% exposure, 56 km/hr windspeed
Sector: #462 12% exposure, 15 km/hr windspeed
Sector: #317 13% exposure, 7 km/hr windspeed
Sector: #294 13% exposure, 28 km/hr windspeed
Sector: #101 13% exposure, 5 km/hr windspeed
Sector: #240 13% exposure, 15 km/hr windspeed
Sector: #430 13% exposure, 16 km/hr windspeed
Sector: #266 13% exposure, 34 km/hr windspeed
Sector: #109 14% exposure, 22 km/hr windspeed
