----------------------------------------------------------------------
Data values
----------------------------------------------------------------------
Data by Sector
Sector: #1 35% exposure, 58 km/hr windspeed
Sector: #123 58% exposure, 23 km/hr windspeed
Sector: #123 40% exposure, 15 km/hr windspeed
Sector: #123 3% exposure, 16 km/hr windspeed
Sector: #123 97% exposure, 23 km/hr windspeed
Sector: #123 20% exposure, 27 km/hr windspeed
Sector: #123 51% exposure, 54 km/hr windspeed
Sector: #123 51% exposure, 27 km/hr windspeed
Sector: #123 21% exposure, 39 km/hr windspeed
Sector: #124 57% exposure, 24 km/hr windspeed
Sector: #124 21% exposure, 18 km/hr windspeed
Sector: #124 76% exposure, 18 km/hr windspeed
Sector: #124 69% exposure, 35 km/hr windspeed
Sector: #124 73% exposure, 25 km/hr windspeed
Sector: #124 64% exposure, 43 km/hr windspeed
Sector: #124 16% exposure, 56 km/hr windspeed
Sector: #124 63% exposure, 34 km/hr windspeed
Sector: #124 100% exposure, 22 km/hr windspeed
Sector: #124 50% exposure, 2 km/hr windspeed
Sector: #124 46% exposure, 50 km/hr windspeed
Sector: #124 36% exposure, 13 km/hr windspeed
Sector: #124 25% exposure, 43 km/hr windspeed
Sector: #124 62% exposure, 18 km/hr windspeed
Sector: #124 84% exposure, 6 km/hr windspeed
Sector: #124 70% exposure, 30 km/hr windspeed
Sector: #124 99% exposure, 28 km/hr windspeed
Sector: #124 53% exposure, 10 km/hr windspeed
Sector: #124 61% exposure, 23 km/hr windspeed
Sector: #124 90% exposure, 1 km/hr windspeed
Sector: #125 11% exposure, 15 km/hr windspeed
Sector: #125 45% exposure, 10 km/hr windspeed
Sector: #125 69% exposure, 2 km/hr windspeed
Sector: #125 4% exposure, 17 km/hr windspeed
Sector: #125 85% exposure, 57 km/hr windspeed
Sector: #125 11% exposure, 44 km/hr windspeed
Sector: #125 4% exposure, 26 km/hr windspeed
Sector: #125 76% exposure, 28 km/hr windspeed
Sector: #125 47% exposure, 5 km/hr windspeed
Sector: #125 9% exposure, 11 km/hr windspeed
Sector: #125 98% exposure, 34 km/hr windspeed
Sector: #125 23% exposure, 12 km/hr windspeed
Sector: #125 85% exposure, 5 km/hr windspeed
Sector: #125 98% exposure, 27 km/hr windspeed
Sector: #125 47% exposure, 21 km/hr windspeed
Sector: #125 50% exposure, 45 km/hr windspeed
Sector: #125 78% exposure, 36 km/hr windspeed
Sector: #125 85% exposure, 44 km/hr windspeed
Sector: #125 69% exposure, 30 km/hr windspeed
Sector: #125 69% exposure, 21 km/hr windspeed
Sector: #126 8% exposure, 3 km/hr windspeed
Sector: #126 2% exposure, 14 km/hr windspeed
Sector: #126 61% exposure, 59 km/hr windspeed
Sector: #126 98% exposure, 31 km/hr windspeed
Sector: #126 30% exposure, 27 km/hr windspeed
Sector: #126 9% exposure, 8 km/hr windspeed
Sector: #126 8% exposure, 14 km/hr windspeed
Sector: #126 80% exposure, 30 km/hr windspeed
Sector: #126 49% exposure, 17 km/hr windspeed
Sector: #126 45% exposure, 11 km/hr windspeed
Sector: #126 9% exposure, 7 km/hr windspeed
Sector: #126 20% exposure, 19 km/hr windspeed
Sector: #126 77% exposure, 54 km/hr windspeed
Sector: #126 66% exposure, 15 km/hr windspeed
Sector: #127 32% exposure, 55 km/hr windspeed
Sector: #127 97% exposure, 8 km/hr windspeed
Sector: #127 40% exposure, 18 km/hr windspeed
Sector: #127 96% exposure, 26 km/hr windspeed
Sector: #127 4% exposure, 7 km/hr windspeed
Sector: #127 31% exposure, 19 km/hr windspeed
Sector: #127 51% exposure, 10 km/hr windspeed
Sector: #127 97% exposure, 40 km/hr windspeed
Sector: #127 19% exposure, 24 km/hr windspeed
Sector: #127 90% exposure, 33 km/hr windspeed
Sector: #127 25% exposure, 17 km/hr windspeed
Sector: #127 83% exposure, 37 km/hr windspeed
Sector: #127 37% exposure, 30 km/hr windspeed
Sector: #127 52% exposure, 31 km/hr windspeed
Sector: #127 56% exposure, 2 km/hr windspeed
Sector: #127 89% exposure, 53 km/hr windspeed
Sector: #128 81% exposure, 38 km/hr windspeed
Sector: #128 28% exposure, 5 km/hr windspeed
Sector: #128 51% exposure, 7 km/hr windspeed
Sector: #128 10% exposure, 38 km/hr windspeed
Sector: #128 75% exposure, 32 km/hr windspeed
Sector: #128 90% exposure, 3 km/hr windspeed
Sector: #128 71% exposure, 9 km/hr windspeed
Sector: #128 19% exposure, 10 km/hr windspeed
Sector: #128 67% exposure, 38 km/hr windspeed
Sector: #128 10% exposure, 22 km/hr windspeed
Sector: #128 99% exposure, 40 km/hr windspeed
Sector: #128 3% exposure, 17 km/hr windspeed
Sector: #128 24% exposure, 22 km/hr windspeed
Sector: #128 73% exposure, 2 km/hr windspeed
Sector: #128 86% exposure, 26 km/hr windspeed
Sector: #128 1% exposure, 39 km/hr windspeed
Sector: #128 77% exposure, 25 km/hr windspeed
Sector: #128 40% exposure, 38 km/hr windspeed
Sector: #129 95% exposure, 62 km/hr windspeed
Sector: #129 30% exposure, 59 km/hr windspeed
Sector: #129 83% exposure, 10 km/hr windspeed
Sector: #129 58% exposure, 50 km/hr windspeed
Sector: #129 3% exposure, 21 km/hr windspeed
Sector: #129 45% exposure, 12 km/hr windspeed
Sector: #129 31% exposure, 56 km/hr windspeed
Sector: #129 94% exposure, 28 km/hr windspeed
Sector: #129 35% exposure, 21 km/hr windspeed
Sector: #129 10% exposure, 47 km/hr windspeed
Sector: #129 46% exposure, 34 km/hr windspeed
Sector: #129 71% exposure, 4 km/hr windspeed
Sector: #129 60% exposure, 10 km/hr windspeed
Sector: #129 33% exposure, 24 km/hr windspeed
Sector: #129 19% exposure, 34 km/hr windspeed
Sector: #129 90% exposure, 50 km/hr windspeed
Sector: #129 99% exposure, 14 km/hr windspeed
Sector: #129 8% exposure, 19 km/hr windspeed
Sector: #129 27% exposure, 7 km/hr windspeed
Sector: #129 11% exposure, 17 km/hr windspeed
Sector: #129 28% exposure, 26 km/hr windspeed
Sector: #129 69% exposure, 27 km/hr windspeed
Sector: #129 62% exposure, 9 km/hr windspeed
Sector: #129 11% exposure, 66 km/hr windspeed
Sector: #129 57% exposure, 20 km/hr windspeed
Sector: #129 53% exposure, 10 km/hr windspeed
Sector: #131 23% exposure, 16 km/hr windspeed
Sector: #131 66% exposure, 9 km/hr windspeed
Sector: #131 81% exposure, 16 km/hr windspeed
Sector: #131 97% exposure, 3 km/hr windspeed
Sector: #131 28% exposure, 47 km/hr windspeed
Sector: #131 71% exposure, 23 km/hr windspeed
Sector: #131 21% exposure, 29 km/hr windspeed
Sector: #131 55% exposure, 58 km/hr windspeed
Sector: #131 25% exposure, 5 km/hr windspeed
Sector: #131 74% exposure, 19 km/hr windspeed
Sector: #131 7% exposure, 23 km/hr windspeed
Sector: #131 50% exposure, 7 km/hr windspeed
Sector: #131 33% exposure, 41 km/hr windspeed
Sector: #131 30% exposure, 25 km/hr windspeed
Sector: #131 49% exposure, 55 km/hr windspeed
Sector: #131 73% exposure, 53 km/hr windspeed
Sector: #132 86% exposure, 21 km/hr windspeed
Sector: #132 70% exposure, 36 km/hr windspeed
Sector: #132 91% exposure, 36 km/hr windspeed
Sector: #132 63% exposure, 12 km/hr windspeed
Sector: #132 57% exposure, 19 km/hr windspeed
Sector: #132 17% exposure, 39 km/hr windspeed
Sector: #132 78% exposure, 32 km/hr windspeed
Sector: #132 93% exposure, 6 km/hr windspeed
Sector: #132 98% exposure, 15 km/hr windspeed
Sector: #132 28% exposure, 2 km/hr windspeed
Sector: #132 21% exposure, 35 km/hr windspeed
Sector: #132 20% exposure, 12 km/hr windspeed
Sector: #132 71% exposure, 11 km/hr windspeed
Sector: #132 55% exposure, 10 km/hr windspeed
Sector: #132 6% exposure, 21 km/hr windspeed
Sector: #132 38% exposure, 32 km/hr windspeed
Sector: #132 1% exposure, 31 km/hr windspeed
Sector: #132 88% exposure, 49 km/hr windspeed
Sector: #132 58% exposure, 21 km/hr windspeed
Sector: #132 70% exposure, 46 km/hr windspeed
Sector: #132 10% exposure, 20 km/hr windspeed
Sector: #132 85% exposure, 43 km/hr windspeed
Sector: #132 17% exposure, 32 km/hr windspeed
Sector: #133 20% exposure, 16 km/hr windspeed
Sector: #133 49% exposure, 42 km/hr windspeed
Sector: #133 74% exposure, 42 km/hr windspeed
Sector: #133 32% exposure, 21 km/hr windspeed
Sector: #133 48% exposure, 13 km/hr windspeed
Sector: #133 15% exposure, 16 km/hr windspeed
Sector: #133 92% exposure, 35 km/hr windspeed
Sector: #133 51% exposure, 13 km/hr windspeed
Sector: #133 42% exposure, 49 km/hr windspeed
Sector: #133 76% exposure, 33 km/hr windspeed
Sector: #133 11% exposure, 12 km/hr windspeed
Sector: #133 40% exposure, 1 km/hr windspeed
Sector: #134 61% exposure, 33 km/hr windspeed
Sector: #134 22% exposure, 25 km/hr windspeed
Sector: #134 1% exposure, 54 km/hr windspeed
Sector: #134 43% exposure, 24 km/hr windspeed
Sector: #134 84% exposure, 33 km/hr windspeed
Sector: #134 73% exposure, 16 km/hr windspeed
Sector: #134 75% exposure, 46 km/hr windspeed
Sector: #134 7% exposure, 15 km/hr windspeed
Sector: #134 22% exposure, 20 km/hr windspeed
Sector: #134 87% exposure, 44 km/hr windspeed
Sector: #134 3% exposure, 48 km/hr windspeed
Sector: #134 81% exposure, 7 km/hr windspeed
Sector: #134 75% exposure, 5 km/hr windspeed
Sector: #134 3% exposure, 7 km/hr windspeed
Sector: #134 15% exposure, 29 km/hr windspeed
Sector: #134 25% exposure, 3 km/hr windspeed
Sector: #134 13% exposure, 30 km/hr windspeed
Sector: #134 49% exposure, 30 km/hr windspeed
Sector: #134 33% exposure, 22 km/hr windspeed
Sector: #135 56% exposure, 43 km/hr windspeed
Sector: #135 94% exposure, 21 km/hr windspeed
Sector: #135 3% exposure, 28 km/hr windspeed
Sector: #135 92% exposure, 28 km/hr windspeed
Sector: #135 8% exposure, 54 km/hr windspeed
Sector: #135 55% exposure, 16 km/hr windspeed
Sector: #135 88% exposure, 8 km/hr windspeed
Sector: #135 85% exposure, 46 km/hr windspeed
Sector: #135 13% exposure, 28 km/hr windspeed
Sector: #135 7% exposure, 19 km/hr windspeed
Sector: #135 12% exposure, 15 km/hr windspeed
Sector: #135 80% exposure, 20 km/hr windspeed
Sector: #135 42% exposure, 35 km/hr windspeed
Sector: #136 14% exposure, 18 km/hr windspeed
Sector: #136 41% exposure, 25 km/hr windspeed
Sector: #136 61% exposure, 6 km/hr windspeed
Sector: #136 29% exposure, 10 km/hr windspeed
Sector: #136 41% exposure, 9 km/hr windspeed
Sector: #136 22% exposure, 51 km/hr windspeed
Sector: #136 31% exposure, 16 km/hr windspeed
Sector: #136 65% exposure, 6 km/hr windspeed
Sector: #136 25% exposure, 23 km/hr windspeed
Sector: #136 71% exposure, 32 km/hr windspeed
Sector: #136 81% exposure, 41 km/hr windspeed
Sector: #136 62% exposure, 24 km/hr windspeed
Sector: #136 64% exposure, 8 km/hr windspeed
Sector: #136 57% exposure, 16 km/hr windspeed
Sector: #136 41% exposure, 5 km/hr windspeed
Sector: #136 1% exposure, 32 km/hr windspeed
Sector: #136 93% exposure, 46 km/hr windspeed
Sector: #136 11% exposure, 14 km/hr windspeed
Sector: #136 44% exposure, 5 km/hr windspeed
Sector: #136 26% exposure, 65 km/hr windspeed
Sector: #137 92% exposure, 42 km/hr windspeed
Sector: #137 26% exposure, 6 km/hr windspeed
Sector: #137 15% exposure, 20 km/hr windspeed
Sector: #137 13% exposure, 29 km/hr windspeed
Sector: #137 32% exposure, 2 km/hr windspeed
Sector: #137 85% exposure, 48 km/hr windspeed
Sector: #137 70% exposure, 16 km/hr windspeed
Sector: #137 1% exposure, 12 km/hr windspeed
Sector: #137 32% exposure, 24 km/hr windspeed
Sector: #137 2% exposure, 53 km/hr windspeed
Sector: #137 38% exposure, 12 km/hr windspeed
Sector: #137 79% exposure, 13 km/hr windspeed
Sector: #137 89% exposure, 21 km/hr windspeed
Sector: #137 65% exposure, 46 km/hr windspeed
Sector: #137 64% exposure, 25 km/hr windspeed
Sector: #137 68% exposure, 36 km/hr windspeed
Sector: #137 25% exposure, 6 km/hr windspeed
Sector: #137 41% exposure, 24 km/hr windspeed
Sector: #137 60% exposure, 10 km/hr windspeed
Sector: #138 54% exposure, 40 km/hr windspeed
Sector: #138 94% exposure, 14 km/hr windspeed
Sector: #138 2% exposure, 36 km/hr windspeed
Sector: #138 96% exposure, 21 km/hr windspeed
Sector: #138 58% exposure, 26 km/hr windspeed
Sector: #138 69% exposure, 23 km/hr windspeed
Sector: #138 81% exposure, 50 km/hr windspeed
Sector: #138 21% exposure, 19 km/hr windspeed
Sector: #138 27% exposure, 15 km/hr windspeed
Sector: #138 10% exposure, 57 km/hr windspeed
Sector: #138 57% exposure, 50 km/hr windspeed
Sector: #138 41% exposure, 17 km/hr windspeed
Sector: #138 36% exposure, 37 km/hr windspeed
Sector: #138 3% exposure, 30 km/hr windspeed
Sector: #138 70% exposure, 55 km/hr windspeed
Sector: #138 28% exposure, 40 km/hr windspeed
Sector: #139 61% exposure, 23 km/hr windspeed
Sector: #139 34% exposure, 24 km/hr windspeed
Sector: #139 72% exposure, 48 km/hr windspeed
Sector: #139 34% exposure, 31 km/hr windspeed
Sector: #139 27% exposure, 19 km/hr windspeed
Sector: #139 72% exposure, 32 km/hr windspeed
Sector: #139 69% exposure, 26 km/hr windspeed
Sector: #139 53% exposure, 38 km/hr windspeed
Sector: #139 99% exposure, 16 km/hr windspeed
Sector: #139 14% exposure, 58 km/hr windspeed
Sector: #139 23% exposure, 67 km/hr windspeed
Sector: #139 12% exposure, 16 km/hr windspeed
Sector: #139 5% exposure, 47 km/hr windspeed
Sector: #139 10% exposure, 38 km/hr windspeed
Sector: #139 23% exposure, 37 km/hr windspeed
Sector: #140 83% exposure, 40 km/hr windspeed
Sector: #140 66% exposure, 27 km/hr windspeed
Sector: #140 53% exposure, 31 km/hr windspeed
Sector: #140 10% exposure, 13 km/hr windspeed
Sector: #140 35% exposure, 22 km/hr windspeed
Sector: #140 8% exposure, 12 km/hr windspeed
Sector: #140 21% exposure, 3 km/hr windspeed
Sector: #140 77% exposure, 10 km/hr windspeed
Sector: #140 27% exposure, 24 km/hr windspeed
Sector: #140 36% exposure, 20 km/hr windspeed
Sector: #140 73% exposure, 2 km/hr windspeed
Sector: #140 7% exposure, 40 km/hr windspeed
Sector: #140 19% exposure, 14 km/hr windspeed
Sector: #140 42% exposure, 11 km/hr windspeed
Sector: #140 23% exposure, 13 km/hr windspeed
Sector: #140 83% exposure, 24 km/hr windspeed
Sector: #140 55% exposure, 36 km/hr windspeed
Sector: #140 94% exposure, 34 km/hr windspeed
Sector: #140 63% exposure, 27 km/hr windspeed
Sector: #140 65% exposure, 14 km/hr windspeed
Sector: #141 43% exposure, 25 km/hr windspeed
Sector: #141 99% exposure, 44 km/hr windspeed
Sector: #141 80% exposure, 41 km/hr windspeed
Sector: #141 32% exposure, 38 km/hr windspeed
Sector: #141 39% exposure, 34 km/hr windspeed
Sector: #141 44% exposure, 37 km/hr windspeed
Sector: #141 42% exposure, 13 km/hr windspeed
Sector: #141 96% exposure, 25 km/hr windspeed
Sector: #141 38% exposure, 47 km/hr windspeed
Sector: #141 35% exposure, 30 km/hr windspeed
Sector: #141 51% exposure, 30 km/hr windspeed
Sector: #141 41% exposure, 62 km/hr windspeed
Sector: #141 64% exposure, 8 km/hr windspeed
Sector: #141 23% exposure, 16 km/hr windspeed
Sector: #141 36% exposure, 33 km/hr windspeed
Sector: #141 8% exposure, 16 km/hr windspeed
Sector: #141 39% exposure, 30 km/hr windspeed
Sector: #141 81% exposure, 29 km/hr windspeed
Sector: #141 18% exposure, 17 km/hr windspeed
Sector: #141 79% exposure, 32 km/hr windspeed
Sector: #141 9% exposure, 23 km/hr windspeed
Sector: #141 65% exposure, 24 km/hr windspeed
Sector: #142 59% exposure, 25 km/hr windspeed
Sector: #142 93% exposure, 8 km/hr windspeed
Sector: #142 83% exposure, 38 km/hr windspeed
Sector: #142 85% exposure, 54 km/hr windspeed
Sector: #142 82% exposure, 59 km/hr windspeed
Sector: #142 69% exposure, 43 km/hr windspeed
Sector: #142 4% exposure, 23 km/hr windspeed
Sector: #142 72% exposure, 3 km/hr windspeed
Sector: #142 75% exposure, 30 km/hr windspeed
Sector: #142 41% exposure, 62 km/hr windspeed
Sector: #142 85% exposure, 29 km/hr windspeed
Sector: #142 97% exposure, 9 km/hr windspeed
Sector: #142 5% exposure, 51 km/hr windspeed
Sector: #142 83% exposure, 36 km/hr windspeed
Sector: #142 28% exposure, 42 km/hr windspeed
Sector: #143 85% exposure, 44 km/hr windspeed
Sector: #143 88% exposure, 12 km/hr windspeed
Sector: #143 94% exposure, 20 km/hr windspeed
Sector: #143 67% exposure, 18 km/hr windspeed
Sector: #143 52% exposure, 45 km/hr windspeed
Sector: #143 14% exposure, 14 km/hr windspeed
Sector: #143 55% exposure, 27 km/hr windspeed
Sector: #143 40% exposure, 22 km/hr windspeed
Sector: #143 22% exposure, 4 km/hr windspeed
Sector: #143 60% exposure, 12 km/hr windspeed
Sector: #143 18% exposure, 21 km/hr windspeed
Sector: #143 48% exposure, 31 km/hr windspeed
Sector: #143 55% exposure, 15 km/hr windspeed
Sector: #143 29% exposure, 13 km/hr windspeed
Sector: #143 83% exposure, 40 km/hr windspeed
Sector: #143 23% exposure, 23 km/hr windspeed
Sector: #143 1% exposure, 48 km/hr windspeed
Sector: #143 45% exposure, 25 km/hr windspeed
Sector: #143 43% exposure, 70 km/hr windspeed
Sector: #143 56% exposure, 21 km/hr windspeed
Sector: #143 69% exposure, 20 km/hr windspeed
Sector: #143 48% exposure, 10 km/hr windspeed
Sector: #143 91% exposure, 30 km/hr windspeed
Sector: #143 44% exposure, 60 km/hr windspeed
Sector: #144 11% exposure, 2 km/hr windspeed
Sector: #144 66% exposure, 10 km/hr windspeed
Sector: #144 98% exposure, 37 km/hr windspeed
Sector: #144 45% exposure, 21 km/hr windspeed
Sector: #144 44% exposure, 65 km/hr windspeed
Sector: #144 67% exposure, 18 km/hr windspeed
Sector: #144 31% exposure, 42 km/hr windspeed
Sector: #144 84% exposure, 17 km/hr windspeed
Sector: #144 61% exposure, 43 km/hr windspeed
Sector: #144 20% exposure, 41 km/hr windspeed
Sector: #144 77% exposure, 28 km/hr windspeed
Sector: #144 61% exposure, 46 km/hr windspeed
Sector: #144 9% exposure, 35 km/hr windspeed
Sector: #144 77% exposure, 25 km/hr windspeed
Sector: #144 66% exposure, 25 km/hr windspeed
Sector: #144 72% exposure, 6 km/hr windspeed
Sector: #144 43% exposure, 7 km/hr windspeed
Sector: #145 90% exposure, 58 km/hr windspeed
Sector: #145 16% exposure, 7 km/hr windspeed
Sector: #145 46% exposure, 55 km/hr windspeed
Sector: #145 87% exposure, 44 km/hr windspeed
Sector: #145 18% exposure, 15 km/hr windspeed
Sector: #145 48% exposure, 61 km/hr windspeed
Sector: #145 12% exposure, 40 km/hr windspeed
Sector: #145 63% exposure, 21 km/hr windspeed
Sector: #145 62% exposure, 20 km/hr windspeed
Sector: #145 5% exposure, 27 km/hr windspeed
Sector: #145 15% exposure, 20 km/hr windspeed
Sector: #146 8% exposure, 19 km/hr windspeed
Sector: #146 41% exposure, 26 km/hr windspeed
Sector: #146 85% exposure, 27 km/hr windspeed
Sector: #146 96% exposure, 2 km/hr windspeed
Sector: #146 23% exposure, 44 km/hr windspeed
Sector: #146 17% exposure, 11 km/hr windspeed
Sector: #146 31% exposure, 4 km/hr windspeed
Sector: #146 56% exposure, 21 km/hr windspeed
Sector: #146 64% exposure, 16 km/hr windspeed
Sector: #146 31% exposure, 45 km/hr windspeed
Sector: #146 50% exposure, 49 km/hr windspeed
Sector: #146 68% exposure, 18 km/hr windspeed
Sector: #146 94% exposure, 26 km/hr windspeed
Sector: #146 68% exposure, 42 km/hr windspeed
Sector: #146 49% exposure, 2 km/hr windspeed
Sector: #146 31% exposure, 28 km/hr windspeed
Sector: #146 7% exposure, 31 km/hr windspeed
Sector: #146 25% exposure, 6 km/hr windspeed
Sector: #146 74% exposure, 13 km/hr windspeed
Sector: #146 24% exposure, 31 km/hr windspeed
Sector: #147 20% exposure, 27 km/hr windspeed
Sector: #147 98% exposure, 27 km/hr windspeed
Sector: #147 68% exposure, 1 km/hr windspeed
Sector: #147 45% exposure, 9 km/hr windspeed
Sector: #147 41% exposure, 28 km/hr windspeed
Sector: #147 68% exposure, 30 km/hr windspeed
Sector: #147 82% exposure, 21 km/hr windspeed
Sector: #147 98% exposure, 2 km/hr windspeed
Sector: #147 19% exposure, 5 km/hr windspeed
Sector: #147 34% exposure, 41 km/hr windspeed
Sector: #147 2% exposure, 7 km/hr windspeed
Sector: #147 3% exposure, 57 km/hr windspeed
Sector: #147 19% exposure, 28 km/hr windspeed
Sector: #147 93% exposure, 31 km/hr windspeed
Sector: #147 65% exposure, 20 km/hr windspeed
Sector: #147 74% exposure, 37 km/hr windspeed
Sector: #147 56% exposure, 50 km/hr windspeed
Sector: #147 22% exposure, 50 km/hr windspeed
Sector: #147 10% exposure, 2 km/hr windspeed
Sector: #147 80% exposure, 21 km/hr windspeed
Sector: #148 83% exposure, 24 km/hr windspeed
Sector: #148 49% exposure, 36 km/hr windspeed
Sector: #148 80% exposure, 16 km/hr windspeed
Sector: #148 41% exposure, 48 km/hr windspeed
Sector: #148 14% exposure, 2 km/hr windspeed
Sector: #148 38% exposure, 4 km/hr windspeed
Sector: #148 98% exposure, 25 km/hr windspeed
Sector: #148 97% exposure, 11 km/hr windspeed
Sector: #148 55% exposure, 41 km/hr windspeed
Sector: #148 94% exposure, 54 km/hr windspeed
Sector: #148 74% exposure, 43 km/hr windspeed
Sector: #148 73% exposure, 25 km/hr windspeed
Sector: #148 80% exposure, 10 km/hr windspeed
Sector: #148 37% exposure, 19 km/hr windspeed
Sector: #148 58% exposure, 23 km/hr windspeed
Sector: #148 68% exposure, 22 km/hr windspeed
Sector: #148 82% exposure, 34 km/hr windspeed
Sector: #148 19% exposure, 54 km/hr windspeed
Sector: #148 8% exposure, 62 km/hr windspeed
Sector: #148 69% exposure, 33 km/hr windspeed
Sector: #148 51% exposure, 10 km/hr windspeed
Sector: #148 33% exposure, 13 km/hr windspeed
Sector: #148 5% exposure, 33 km/hr windspeed
Sector: #148 17% exposure, 24 km/hr windspeed
Sector: #148 48% exposure, 40 km/hr windspeed
Sector: #148 53% exposure, 8 km/hr windspeed
Sector: #149 69% exposure, 22 km/hr windspeed
Sector: #149 12% exposure, 38 km/hr windspeed
Sector: #149 48% exposure, 10 km/hr windspeed
Sector: #149 77% exposure, 31 km/hr windspeed
Sector: #149 93% exposure, 21 km/hr windspeed
Sector: #149 93% exposure, 4 km/hr windspeed
Sector: #149 64% exposure, 29 km/hr windspeed
Sector: #149 96% exposure, 37 km/hr windspeed
Sector: #149 39% exposure, 67 km/hr windspeed
Sector: #149 37% exposure, 9 km/hr windspeed
Sector: #149 26% exposure, 37 km/hr windspeed
Sector: #149 60% exposure, 23 km/hr windspeed
Sector: #149 70% exposure, 29 km/hr windspeed
Sector: #149 28% exposure, 49 km/hr windspeed
Sector: #149 94% exposure, 22 km/hr windspeed
Sector: #149 77% exposure, 3 km/hr windspeed
Sector: #149 85% exposure, 59 km/hr windspeed
Sector: #149 28% exposure, 19 km/hr windspeed
Sector: #149 87% exposure, 42 km/hr windspeed
Sector: #150 4% exposure, 46 km/hr windspeed
Sector: #150 32% exposure, 50 km/hr windspeed
Sector: #150 74% exposure, 13 km/hr windspeed
Sector: #150 96% exposure, 43 km/hr windspeed
Sector: #150 30% exposure, 4 km/hr windspeed
Sector: #150 87% exposure, 35 km/hr windspeed
Sector: #150 85% exposure, 22 km/hr windspeed
Sector: #150 68% exposure, 50 km/hr windspeed
Sector: #150 10% exposure, 61 km/hr windspeed
Sector: #150 9% exposure, 45 km/hr windspeed
Sector: #150 59% exposure, 26 km/hr windspeed
Sector: #150 45% exposure, 49 km/hr windspeed
Sector: #150 32% exposure, 26 km/hr windspeed
Sector: #150 18% exposure, 17 km/hr windspeed
Sector: #150 9% exposure, 14 km/hr windspeed
Sector: #151 18% exposure, 24 km/hr windspeed
Sector: #151 29% exposure, 29 km/hr windspeed
Sector: #151 30% exposure, 21 km/hr windspeed
Sector: #151 4% exposure, 21 km/hr windspeed
Sector: #151 51% exposure, 26 km/hr windspeed
Sector: #151 40% exposure, 16 km/hr windspeed
Sector: #151 55% exposure, 23 km/hr windspeed
Sector: #151 91% exposure, 19 km/hr windspeed
Sector: #151 43% exposure, 17 km/hr windspeed
Sector: #151 22% exposure, 22 km/hr windspeed
Sector: #151 23% exposure, 36 km/hr windspeed
Sector: #151 82% exposure, 12 km/hr windspeed
Sector: #151 24% exposure, 13 km/hr windspeed
Sector: #151 24% exposure, 19 km/hr windspeed
Sector: #151 53% exposure, 46 km/hr windspeed
Sector: #151 40% exposure, 17 km/hr windspeed
Sector: #151 42% exposure, 63 km/hr windspeed
Sector: #151 81% exposure, 25 km/hr windspeed
Sector: #151 81% exposure, 9 km/hr windspeed
Sector: #151 5% exposure, 46 km/hr windspeed
Sector: #152 91% exposure, 21 km/hr windspeed
Sector: #152 47% exposure, 18 km/hr windspeed
Sector: #152 12% exposure, 39 km/hr windspeed
Sector: #152 19% exposure, 32 km/hr windspeed
Sector: #152 76% exposure, 18 km/hr windspeed
Sector: #152 46% exposure, 42 km/hr windspeed
Sector: #152 63% exposure, 3 km/hr windspeed
Sector: #152 31% exposure, 28 km/hr windspeed
Sector: #152 20% exposure, 4 km/hr windspeed
Sector: #152 43% exposure, 33 km/hr windspeed
Sector: #152 47% exposure, 16 km/hr windspeed
Sector: #152 34% exposure, 18 km/hr windspeed
Sector: #152 74% exposure, 24 km/hr windspeed
Sector: #152 68% exposure, 35 km/hr windspeed
Sector: #152 55% exposure, 49 km/hr windspeed
Sector: #152 78% exposure, 25 km/hr windspeed
Sector: #152 61% exposure, 20 km/hr windspeed
Sector: #152 81% exposure, 19 km/hr windspeed
Sector: #152 82% exposure, 20 km/hr windspeed
Sector: #152 29% exposure, 36 km/hr windspeed
Sector: #152 91% exposure, 55 km/hr windspeed
Sector: #152 37% exposure, 29 km/hr windspeed
Sector: #153 62% exposure, 63 km/hr windspeed
Sector: #153 20% exposure, 5 km/hr windspeed
Sector: #153 31% exposure, 23 km/hr windspeed
Sector: #153 36% exposure, 21 km/hr windspeed
Sector: #153 76% exposure, 20 km/hr windspeed
Sector: #153 64% exposure, 12 km/hr windspeed
Sector: #153 71% exposure, 29 km/hr windspeed
Sector: #153 20% exposure, 42 km/hr windspeed
Sector: #153 8% exposure, 12 km/hr windspeed
Sector: #153 73% exposure, 7 km/hr windspeed
Sector: #153 91% exposure, 14 km/hr windspeed
Sector: #153 42% exposure, 15 km/hr windspeed
Sector: #153 12% exposure, 51 km/hr windspeed
Sector: #153 46% exposure, 39 km/hr windspeed
Sector: #153 60% exposure, 44 km/hr windspeed
Sector: #153 58% exposure, 1 km/hr windspeed
Sector: #154 5% exposure, 12 km/hr windspeed
Sector: #154 20% exposure, 29 km/hr windspeed
Sector: #154 54% exposure, 49 km/hr windspeed
Sector: #154 22% exposure, 60 km/hr windspeed
Sector: #154 59% exposure, 26 km/hr windspeed
Sector: #154 96% exposure, 10 km/hr windspeed
Sector: #154 98% exposure, 19 km/hr windspeed
Sector: #154 27% exposure, 40 km/hr windspeed
Sector: #154 66% exposure, 12 km/hr windspeed
Sector: #154 52% exposure, 15 km/hr windspeed
Sector: #154 52% exposure, 59 km/hr windspeed
Sector: #154 1% exposure, 51 km/hr windspeed
Sector: #154 12% exposure, 17 km/hr windspeed
Sector: #154 40% exposure, 24 km/hr windspeed
Sector: #154 20% exposure, 13 km/hr windspeed
